DATE,city,precipitation
1/1/18,STL,
1/1/19,STL,
1/1/20,STL,
1/1/21,STL,
1/1/22,STL,
1/10/19,STL,
1/10/20,STL,
1/10/21,STL,
1/10/22,STL,
1/11/19,STL,
1/11/20,STL,
1/11/21,STL,
1/11/22,STL,
1/12/19,STL,
1/12/20,STL,
1/12/21,STL,
1/12/22,STL,
1/13/19,STL,
1/13/20,STL,
1/13/21,STL,
1/13/22,STL,
1/14/19,STL,
1/14/20,STL,
1/14/21,STL,
1/14/22,STL,
1/15/19,STL,
1/15/20,STL,
1/15/21,STL,
1/15/22,STL,
1/16/19,STL,
1/16/20,STL,
1/16/21,STL,
1/16/22,STL,
1/17/19,STL,
1/17/20,STL,
1/17/21,STL,
1/17/22,STL,
1/18/19,STL,
1/18/20,STL,
1/18/21,STL,
1/18/22,STL,
1/19/19,STL,
1/19/20,STL,
1/19/21,STL,
1/19/22,STL,
1/2/18,STL,
1/2/19,STL,
1/2/20,STL,
1/2/21,STL,
1/2/22,STL,
1/20/19,STL,
1/20/20,STL,
1/20/21,STL,
1/20/22,STL,
1/21/19,STL,
1/21/20,STL,
1/21/21,STL,
1/21/22,STL,
1/22/19,STL,
1/22/20,STL,
1/22/21,STL,
1/22/22,STL,
1/23/19,STL,
1/23/20,STL,
1/23/21,STL,
1/23/22,STL,
1/24/20,STL,
1/24/21,STL,
1/24/22,STL,
1/25/19,STL,
1/25/20,STL,
1/25/21,STL,
1/25/22,STL,
1/26/19,STL,
1/26/20,STL,
1/26/21,STL,
1/26/22,STL,
1/27/19,STL,
1/27/20,STL,
1/27/21,STL,
1/27/22,STL,
1/28/19,STL,
1/28/20,STL,
1/28/21,STL,
1/28/22,STL,
1/29/19,STL,
1/29/20,STL,
1/29/21,STL,
1/29/22,STL,
1/3/18,STL,
1/3/19,STL,
1/3/20,STL,
1/3/21,STL,
1/3/22,STL,
1/30/19,STL,
1/30/20,STL,
1/30/21,STL,
1/30/22,STL,
1/31/19,STL,
1/31/20,STL,
1/31/21,STL,
1/31/22,STL,
1/4/18,STL,
1/4/19,STL,
1/4/21,STL,
1/4/22,STL,
1/5/18,STL,
1/5/21,STL,
1/5/22,STL,
1/6/18,STL,
1/6/20,STL,
1/6/21,STL,
1/6/22,STL,
1/7/18,STL,
1/7/19,STL,
1/7/20,STL,
1/7/21,STL,
1/7/22,STL,
1/8/18,STL,
1/8/19,STL,
1/8/20,STL,
1/8/21,STL,
1/8/22,STL,
1/9/19,STL,
1/9/20,STL,
1/9/21,STL,
1/9/22,STL,
10/1/18,STL,
10/1/19,STL,
10/1/20,STL,
10/1/21,STL,
10/1/22,STL,
10/10/18,STL,
10/10/19,STL,
10/10/20,STL,
10/10/21,STL,
10/10/22,STL,
10/11/18,STL,
10/11/19,STL,
10/11/20,STL,
10/11/21,STL,
10/11/22,STL,
10/12/18,STL,
10/12/19,STL,
10/12/20,STL,
10/12/21,STL,
10/12/22,STL,
10/13/18,STL,
10/13/19,STL,
10/13/20,STL,
10/13/21,STL,
10/13/22,STL,
10/14/18,STL,
10/14/19,STL,
10/14/20,STL,
10/14/21,STL,
10/14/22,STL,
10/15/18,STL,
10/15/19,STL,
10/15/20,STL,
10/15/21,STL,
10/15/22,STL,
10/16/18,STL,
10/16/19,STL,
10/16/20,STL,
10/16/21,STL,
10/16/22,STL,
10/17/18,STL,
10/17/19,STL,
10/17/20,STL,
10/17/21,STL,
10/17/22,STL,
10/18/18,STL,
10/18/19,STL,
10/18/20,STL,
10/18/21,STL,
10/18/22,STL,
10/19/18,STL,
10/19/19,STL,
10/19/20,STL,
10/19/21,STL,
10/19/22,STL,
10/2/18,STL,
10/2/19,STL,
10/2/20,STL,
10/2/21,STL,
10/2/22,STL,
10/20/18,STL,
10/20/19,STL,
10/20/20,STL,
10/20/21,STL,
10/20/22,STL,
10/21/18,STL,
10/21/19,STL,
10/21/20,STL,
10/21/21,STL,
10/21/22,STL,
10/22/18,STL,
10/22/19,STL,
10/22/20,STL,
10/22/21,STL,
10/22/22,STL,
10/23/18,STL,
10/23/19,STL,
10/23/20,STL,
10/23/21,STL,
10/23/22,STL,
10/24/18,STL,
10/24/19,STL,
10/24/20,STL,
10/24/21,STL,
10/24/22,STL,
10/25/18,STL,
10/25/19,STL,
10/25/20,STL,
10/25/21,STL,
10/25/22,STL,
10/26/18,STL,
10/26/19,STL,
10/26/20,STL,
10/26/21,STL,
10/26/22,STL,
10/27/18,STL,
10/27/19,STL,
10/27/20,STL,
10/27/21,STL,
10/27/22,STL,
10/28/18,STL,
10/28/19,STL,
10/28/20,STL,
10/28/21,STL,
10/28/22,STL,
10/29/18,STL,
10/29/19,STL,
10/29/20,STL,
10/29/21,STL,
10/29/22,STL,
10/3/18,STL,
10/3/19,STL,
10/3/20,STL,
10/3/21,STL,
10/3/22,STL,
10/30/18,STL,
10/30/19,STL,
10/30/20,STL,
10/30/21,STL,
10/30/22,STL,
10/31/18,STL,
10/31/19,STL,
10/31/20,STL,
10/31/21,STL,
10/31/22,STL,
10/4/18,STL,
10/4/19,STL,
10/4/20,STL,
10/4/21,STL,
10/4/22,STL,
10/5/18,STL,
10/5/19,STL,
10/5/20,STL,
10/5/21,STL,
10/5/22,STL,
10/6/18,STL,
10/6/19,STL,
10/6/20,STL,
10/6/21,STL,
10/6/22,STL,
10/7/18,STL,
10/7/19,STL,
10/7/20,STL,
10/7/21,STL,
10/7/22,STL,
10/8/18,STL,
10/8/19,STL,
10/8/20,STL,
10/8/21,STL,
10/8/22,STL,
10/9/18,STL,
10/9/19,STL,
10/9/20,STL,
10/9/21,STL,
10/9/22,STL,
11/1/18,STL,
11/1/19,STL,
11/1/20,STL,
11/1/21,STL,
11/1/22,STL,
11/10/19,STL,
11/10/20,STL,
11/10/21,STL,
11/10/22,STL,
11/11/18,STL,
11/11/19,STL,
11/11/20,STL,
11/11/21,STL,
11/11/22,STL,
11/12/18,STL,
11/12/19,STL,
11/12/20,STL,
11/12/21,STL,
11/12/22,STL,
11/13/18,STL,
11/13/19,STL,
11/13/20,STL,
11/13/21,STL,
11/13/22,STL,
11/14/18,STL,
11/14/19,STL,
11/14/20,STL,
11/14/21,STL,
11/14/22,STL,
11/15/18,STL,
11/15/19,STL,
11/15/20,STL,
11/15/21,STL,
11/15/22,STL,
11/16/18,STL,
11/16/19,STL,
11/16/20,STL,
11/16/21,STL,
11/16/22,STL,
11/17/18,STL,
11/17/19,STL,
11/17/20,STL,
11/17/21,STL,
11/17/22,STL,
11/18/18,STL,
11/18/19,STL,
11/18/20,STL,
11/18/21,STL,
11/18/22,STL,
11/19/18,STL,
11/19/19,STL,
11/19/20,STL,
11/19/21,STL,
11/19/22,STL,
11/2/19,STL,
11/2/20,STL,
11/2/21,STL,
11/2/22,STL,
11/20/18,STL,
11/20/19,STL,
11/20/20,STL,
11/20/21,STL,
11/20/22,STL,
11/21/18,STL,
11/21/19,STL,
11/21/20,STL,
11/21/21,STL,
11/21/22,STL,
11/22/18,STL,
11/22/19,STL,
11/22/20,STL,
11/22/21,STL,
11/22/22,STL,
11/23/18,STL,
11/23/20,STL,
11/23/21,STL,
11/23/22,STL,
11/24/18,STL,
11/24/20,STL,
11/24/21,STL,
11/24/22,STL,
11/25/18,STL,
11/25/20,STL,
11/25/21,STL,
11/25/22,STL,
11/26/18,STL,
11/26/20,STL,
11/26/21,STL,
11/26/22,STL,
11/27/18,STL,
11/27/20,STL,
11/27/21,STL,
11/27/22,STL,
11/28/18,STL,
11/28/20,STL,
11/28/21,STL,
11/28/22,STL,
11/29/18,STL,
11/29/20,STL,
11/29/21,STL,
11/29/22,STL,
11/3/19,STL,
11/3/20,STL,
11/3/21,STL,
11/3/22,STL,
11/30/18,STL,
11/30/19,STL,
11/30/20,STL,
11/30/21,STL,
11/30/22,STL,
11/4/19,STL,
11/4/20,STL,
11/4/21,STL,
11/4/22,STL,
11/5/19,STL,
11/5/20,STL,
11/5/21,STL,
11/5/22,STL,
11/6/19,STL,
11/6/20,STL,
11/6/21,STL,
11/6/22,STL,
11/7/19,STL,
11/7/20,STL,
11/7/21,STL,
11/7/22,STL,
11/8/19,STL,
11/8/20,STL,
11/8/21,STL,
11/8/22,STL,
11/9/19,STL,
11/9/20,STL,
11/9/21,STL,
11/9/22,STL,
12/1/18,STL,
12/1/19,STL,
12/1/20,STL,
12/1/21,STL,
12/1/22,STL,
12/10/18,STL,
12/10/19,STL,
12/10/20,STL,
12/10/21,STL,
12/10/22,STL,
12/11/18,STL,
12/11/19,STL,
12/11/20,STL,
12/11/21,STL,
12/11/22,STL,
12/12/18,STL,
12/12/19,STL,
12/12/20,STL,
12/12/21,STL,
12/12/22,STL,
12/13/18,STL,
12/13/19,STL,
12/13/20,STL,
12/13/21,STL,
12/13/22,STL,
12/14/18,STL,
12/14/19,STL,
12/14/20,STL,
12/14/21,STL,
12/14/22,STL,
12/15/18,STL,
12/15/19,STL,
12/15/20,STL,
12/15/21,STL,
12/15/22,STL,
12/16/18,STL,
12/16/19,STL,
12/16/20,STL,
12/16/21,STL,
12/16/22,STL,
12/17/18,STL,
12/17/19,STL,
12/17/20,STL,
12/17/21,STL,
12/17/22,STL,
12/18/18,STL,
12/18/19,STL,
12/18/20,STL,
12/18/21,STL,
12/18/22,STL,
12/19/18,STL,
12/19/19,STL,
12/19/20,STL,
12/19/21,STL,
12/19/22,STL,
12/2/18,STL,
12/2/19,STL,
12/2/20,STL,
12/2/21,STL,
12/2/22,STL,
12/20/18,STL,
12/20/19,STL,
12/20/20,STL,
12/20/21,STL,
12/20/22,STL,
12/21/18,STL,
12/21/19,STL,
12/21/20,STL,
12/21/21,STL,
12/21/22,STL,
12/22/18,STL,
12/22/19,STL,
12/22/20,STL,
12/22/21,STL,
12/22/22,STL,
12/23/18,STL,
12/23/19,STL,
12/23/20,STL,
12/23/21,STL,
12/23/22,STL,
12/24/18,STL,
12/24/19,STL,
12/24/20,STL,
12/24/21,STL,
12/24/22,STL,
12/25/18,STL,
12/25/19,STL,
12/25/20,STL,
12/25/21,STL,
12/25/22,STL,
12/26/18,STL,
12/26/19,STL,
12/26/20,STL,
12/26/21,STL,
12/26/22,STL,
12/27/18,STL,
12/27/19,STL,
12/27/20,STL,
12/27/21,STL,
12/27/22,STL,
12/28/18,STL,
12/28/19,STL,
12/28/20,STL,
12/28/21,STL,
12/28/22,STL,
12/29/18,STL,
12/29/19,STL,
12/29/20,STL,
12/29/21,STL,
12/29/22,STL,
12/3/18,STL,
12/3/19,STL,
12/3/20,STL,
12/3/21,STL,
12/3/22,STL,
12/30/18,STL,
12/30/19,STL,
12/30/20,STL,
12/30/21,STL,
